"OBJECTID,N,10,0","NAME,C,50","CLASS,C,4","NPU1,C,4","DISTRICT,C,8","ADDRESS,C,50","GIS_AC,N,19,11","ZIP,C,5","X_TRLPAV,N,4,0","X_TRLNPAV,N,4,0","PAVILIONS,N,11,0","PLAYGROUND,N,12,0","PIC_SHEL,N,9,0","GAZEBO,N,9,0","PICNICTABL,N,9,0","PARKGRILL1,N,12,0","RESTROOMS,C,11","PV_PRKSPAC,C,14","BALLFIELDS,N,9,0","SOCCER,C,13","TENNIS,N,9,0","TRL_NUM,C,9","TRL_LEN,C,9","BBALL,N,9,0","VOLLEYBALL,N,9,0","POOL,C,9","GYM,C,9","RECCEN,N,18,0","COVBB,N,4,0","DOGPARK,N,4,0","TRACK,N,4,0","NAT,N,4,0","GOLF,N,4,0","AREA_FIN,N,19,3","RECCTRNM,C,254","SHAPE_AREA,N,19,11"
291,Fire Station #5 Park,G,M,2,Trinity Ave. SW at Spring St.,0.08380926504,30303,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.084,,3647.72787000000
292,Fountain Drive #1,G,T,4,"1114, at Morris Brown Dr. SW",0.00930318815,30314,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.009,,404.92602000000
293,Fountain Drive #2,G,T,4,at Morris Brown Dr. SW,0.01586877870,30314,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.016,,690.69761000000
294,Georgia Hill Center,CC,W,1,"250 Georgia Avenue SE
",3.08850066457,30312,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,3.089,,134421.12764000000
295,Gertrude Place,G,J,3,Gertrude Place/Bankhead Hwy. NW,1.13318234005,30318,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,1.133,,49323.54837000000
296,Howell Mill at Beaverbrook Park,G,C,8,"Howell Mill Rd/Beaverbrook Dr, NW",0.04636213386,30318,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.046,,2017.91219000000
297,Jonesboro Triangle,G,Z,12,Jonesboro Rd. @ Hutchens Rd. SE,0.16496691630,30354,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.165,,7179.77714000000
298,Spink-Collins Park,N,D,9,"2001 COLLINS DRIVE
",21.48777837260,30318,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,25.488,,1142053.90597000000
299,Kimpson Park,B,Y,1,97 Thirkeld Ave. SE,0.38162163027,30315,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,,0,0,0,0,0,0,0,0.382,,16609.48661000000
300,Lang-Carson Park,C,N,5,100 Flat Shoals Ave. SE,3.19570646178,30316,0,0,0,1,1,0,0,0,0,0,0,,0,,,1,0,,0,1,0,0,0,0,0,3.240,Lang Carson,148047.56372000000
301,Lanier Boulevard Parkway,G,F,6,Lanier Blvd. NE from N. Highland-M'side Dr.,2.09707145602,30306,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,2.097,,91268.00291000000
302,Leathers Circle,G,J,3,at Porter Dr. NW off West Lake Ave.,0.05752078512,30314,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.058,,2503.67350000000
303,Magnum and Lynhurst Park,G,I,10,Mangum Lane @ Lynhurst Dr. SW,0.10201592900,30311,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.102,,4440.62877000000
304,Matilda Place Park,G,J,3,Matilda Place NW/Bankhead Hwy.,1.26639097961,30318,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,1.266,,55121.58420000000
305,Mayflower Beauty Spot,G,S,4,Mayflower Ave./ Cascade Av. to Ocala SW,0.25112140695,30311,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.251,,10930.38986000000
306,Moreland Avenue Planters,G,W,5,Moreland Ave. at McPherson Ave. SE,0.05456133901,30316,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.055,,2374.60060000000
307,Morgan-Boulevard Park,B,M,2,521 Boulevard NE,0.39352497254,30308,0,0,0,1,0,0,0,0,0,0,0,,0,,,1,0,,0,0,0,0,0,0,0,0.394,,17127.26300000000
308,Mt. Paran Rd. at Cave Rd. Triangle,G,A,8,1880 Mt. Paran Rd. NW,0.22623849031,30327,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,0.226,,9847.31180000000
309,Mt. Paran and Northside Park,G,A,8,Mt Paran Rd. at Northside Dr. NW,0.22210191698,30327,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.222,,9667.01254000000
311,North Buckhead Park,G,B,7,Phipps Blvd. at Wieuca Rd. NE,0.12696415072,30342,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0.127,,5525.76229000000
312,North Evelyn Place Park,G,J,3,N. Evelyn Place NW/Bankhead Hwy.,0.86580036083,30318,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.866,,37685.35969000000
313,Northcliffe and Brookview Park,G,C,8,Northcliffe Dr./Brookview Dr. NW,0.02438629519,30318,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.024,,1061.41955000000
314,Ontario Park,G,T,10,Ontario Ave./Stokes Ave. SW,0.07381706215,30310,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.074,,3212.97248000000
315,Oriole Park,G,I,10,End of (near 890) Oriole Dr. SW,0.09541150390,30311,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.095,,4153.05870000000
316,Parkway-Angier Park,B,M,2,Parkway at Angier Ave. NE,0.49493469527,30308,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,,0,0,0,0,0,0,0,0.495,,21540.98695000000
